,Text,Predicted_SDGs,Top_Keywords_for_SDG 3,Top_Keywords_for_SDG 4,Top_Keywords_for_SDG 6,Top_Keywords_for_SDG 8,Top_Keywords_for_SDG 9,Top_Keywords_for_SDG 11,Top_Keywords_for_SDG 12,Top_Keywords_for_SDG 13,Top_Keywords_for_SDG 14,Top_Keywords_for_SDG 15,Top_Keywords_for_SDG 16,Top_Keywords_for_SDG 17,Top_Keywords_for_SDG 2,Top_Keywords_for_SDG 1,Top_Keywords_for_SDG 5,Top_Keywords_for_SDG 10,Top_Keywords_for_SDG 7
0,"ARC Centre of Excellence for Environmental Decisions (CEED). Administered by The University of Queensland The vision of The ARC Centre of Excellence for Environmental Decisions (CEED) is to be the world's leading research centre for solving environmental management problems, and for
evaluating the outcomes of environmental actions. This research will benefit environmental science and management in Australia and internationally. Individually our key researchers are recognised as global leaders in applied environmental science - CEED will draw together this
expertise to produce a centre of international scale and calibre that will tackle the complex problem of environmental management and monitoring in a rapidly changing, risky and uncertain world. While the goal of being the world leader in a research field seems loftyour track record of publications in the world's top journals, and the fact that the disciplines of
ecology and environmental management are one of Australia's strongest research areas, make this an ambitious but feasible goal.","SDG 3, SDG 4, SDG 6, SDG 8, SDG 9, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","health-related millennium development goals, communicable disease prevention and control, health supply chain management, sustainable disease control, global health targets","education management information systems, education outcomes, education planning, academic responsibilities, educational targets","water resources management, water management, integrated water resources management, global goal on water, wastewater management","nature-based tourism management, growth standards, organizational capacity development, organizational studies, long-term growth","construction management, supply chain management, adaptive co-management, life cycle thinking, life cycle design","human resource management, community management, road accidents, municipal solid waste management, language management","sustainable management, material recovery facilities, solid waste management, life cycle, sustainable practices","natural disasters, climate-related disasters, natural disaster, environmental changes, climate resilience","groundwater management, rights-based fishery management, marine pollution abatement and ambient water quality improvement, irrigation efficiency, international year of freshwater","forest management planning, sustainable forest management, forest management, land management, land productivity trends","conflict management, environmental management systems, national goals and targets, environmental management, resource management","sustainable development objectives, whos millennium development goals, united nations millennium development goals, the millennium development goals, fifth millennium development goal",,,,,
1,"Biofabricating complex synthetic skin structures (PhD candidate: Emily Liu s3862245) Skin is the largest organ of the human body, and is responsible for several functions vital to human survival, such as barrier protection, homeostatic modulation, and sensory function. Understanding skin’s response to external stimuli (including disease, and topically applied drugs and chemicals) is a perennial question across clinical, pharmaceutical and cosmetic fields. Historically animal models have been used for most of this testing, but this usage has declined in recent years owing to ethical concerns and the introduction of ‘3R’ (Replace, Reduce, Refine) legislation across most of the globe in the early 2000s. In vitro skin models have emerged as a more sustainable, humane and human-relevant alternative to animal testing. Whilst there are number of commercially available synthetic skin models, these models have not obtained the complex anatomical and physiological features (such as layering and vasculature) found in native human skin. If more complex synthetic skin could be created in the lab, it would have a breadth of applications including disease modelling, as well as testing for the toxicity and corrosivity of chemicals, transdermal drug delivery and cosmetic product testing.","SDG 2, SDG 3, SDG 16","tuberculin skin test, international classification of diseases, health systems research, cross-boundary cancer studies, long-lasting insecticidal nets",,,,,,,,,,"area of protection, health sector reforms programme (hsrp), health research systems, fisheries regulation, health sector reforms",,"international code of marketing of breast-milk substitutes, food security indicators, child nutrition disorders/epildemiology/economics, food and nutrition security, livelihood improvement",,,,
2,"Eco-Bio sanitary pads to end period poverty The project aims to develop low-cost, eco-friendly, bio-based sanitary pads, for effective management of women menstrual health and hygiene (MHH), in low and middle income countries (LMIC). Such sanitary pad will not only be effective and medically safe, but also disposable & fully compostable. The absorbent core of commercially available effective but expensive sanitary pads (Figure 1) is primarily made of petrochemical-based superabsorbent gels for increased liquid absorption and retention; where the barrier layer is made of non-biodegradable plastics for fluid impermeability, and the adhesive layer is formed using silicone-based glues. Besides cost, the risks
associated with synthetic superabsorbent materials include pelvic inflammatory disease, ovarian cancer and toxic shock syndrome, and the high carbon footprint barrier; and the adhesive layer materials cause potential health and environmental threats.","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 8, SDG 9, SDG 10, SDG 11, SDG 14, SDG 15, SDG 16, SDG 17","health-related millennium development goals, perinatal mental health project, maternal, newborn, and child health, health information systems project, maternal, newborn and child health","education and child health, education planning, education measurement, education inequalities, sustainable development education",,"child health surveys, growth standards, money metric poverty, non-health gross domestic product loss, quality of working life","ecosystem distress syndrome, life cycle assessment, primary health facilities, supply chain sustainability, primary healthcare facilities","neighbourhood sustainability assessment, neighborhood sustainability assessment, millennium village project, millennium villages project, demographic and health surveys",,,"marine pollution abatement and ambient water quality improvement, improved multidimensional index of water poverty, inclusive water poverty index, ecosystem water determinants, groundwater protection","soil security dimensions, agriculture and food security, crop protection, artemisia annua agrotechnology, plant genetic resourse","united nations interagency group for child mortality estimation, health policy and programmes, environmental security, maternal obesity pregnancy-related deaths maternal deaths, health sector reforms programme (hsrp)","millennium development goalspovertyeducationequitywomen, millennium development goals (mdg) maternal mortality, sustainable development goal indicators, millennium development goals attainment, millennium development goal (mdg) 4","food security indicators, food security and nutrition, food and nutrition security, poverty goals, child nutrition disorders/epildemiology/economics","poverty alleviating, poverty alleviation, child nutritional status, poverty eradication, diseases of poverty","womens dietary diversity score, reproductive, maternal, newborn and child health, womens health issues, womens and childrens health, saving mothers and newborns initiative","human development indicators, human development index, human development report, financing for sustainable development, development indicators",
3,"Meat Industry Efficiency and Innovation Capacity Enhancement; Benchmarking Technologies and systems from Automotive Industry This project will focus on accelerating the adoption of new technologies by benchmarking the competitive, and sustainable Automotive manufacturing industry. The Automotive industry, as a high volume- low margin sector, is the pioneer in automating manual tasks, by developing the most advanced and cost-effective systems.
Development of innovative manufacturing, processing, materials handling solutions and technologies as well as management systems and appropriate culture has helped the automotive industry to stay efficient and sustainable for many years. On the other hand the Australian automotive industry is leaving a huge number of culturally trained and skilled workers behind.
All the above mentioned makes the need for an extensive research in adapting and using the already existing technologies, strategies and systems in the Automotive industry inevitable. A PhD research project for the duration of 3 years to study the possibilities and potentials for the red meat industry to adapt technologies and solutions in the field of automation, materials handling solutions, management of processes and procedures, and quality assurance systems developed and used by the Automotive industry is proposed.
The research outcomes will generate a database for a rapid knowledge transfer in order to improve red meat industry's innovation capacity on a sustained basis. This will ensure quick knowledge transfer by enabling the industry to acquire skills, as well as a huge number of skilled and culturally trained, unemployed workforce. This database will generate a bank for several future research activities in line with the AMPC capability building strategic plans.","SDG 2, SDG 3, SDG 8, SDG 9, SDG 11, SDG 12, SDG 17","health-related millennium development goals, health systems challenges, health service needs, health information systems project, health services accessibility",,,"growth standards, employability, working conditions, development work, growth status","technological innovations, mission hospitals, low cost technologies, industry, fast-fashion industry","human resource requirements, housing conditions, housing quality, urban construction sector, knowledge society","material recovery facilities, material efficiency, material recovery, material footprint, material stock",,,,,"fifth millennium development goal, millenium development goal, urban sustainable development goal, sustainable development objectives, 2030 sustainable development goals","food needs, food need, livelihood improvement, food supply chain wastes, food demand projections",,,,
4,"Corporate offshore strategy-led Korean communities in Asian developing countries: Case studies of Suzhou, China and Hanoi, Vietnam With growing concerns about labor costs and land costs in Korea, Korean firms have been eager to outward Foreign Direct Investment (FDI). Relocation or establishment of cross-border production activities involves flows of people. Nevertheless, little attention has been paid to the detailed mechanisms that inward FDI has resulted in urban transformation in developing countries.","SDG 3, SDG 4, SDG 5, SDG 8, SDG 10, SDG 11, SDG 14, SDG 15, SDG 16, SDG 17","quality improvement and health systems strengthening, national health research systems, health-related millennium development goals, health systems challenges, country health information systems","household education strategies, education management information systems, education outcomes, international development education, leadership education",,"growth standards, entrepreneurship, organizational studies, growth strategy, transition economies",,"millennium villages project, developing communities, knowledge societies, community-focused strategies, cities and sustainable development",,,"irrigation efficiency, international water resources law, rights-based fishery management, marine pollution abatement and ambient water quality improvement, coastal zones","land degradation neutrality, plant genetic resources treaty, landscape scale mitigation, land degradation mitigation, land productivity trends","conflict-affected countries, organisation for economic co-operation and development, national development planning, governance reforms, decentralised development cooperation","united nations millennium development goals, united nations millenium development goals, united nations sustainable development goals, the millennium development goals, global development goals",,,"international womens rights frameworks, saving mothers and newborns initiative, women and development, womens global health, womens human rights","developing country manufacturers network, developed countries, low-income and middle-income countries, world countries, middle-income countries",
5,"SDG Governance in Australian Firms: Developing an Innovative SDG Reporting Framework The sustainable development goals (SDGs) are a framework of 17 goals and 169 targets across social, economic and environmental areas of sustainable development which the United Nations (UN) Member States committed to in 2015 with a 15-year timeline ending in 2030. Businesses play a critical role in achieving these goals and many have begun to reference the SDGs in their annual reports. However, the quality of SDG governance including the measurement and disclosure of the impact businesses have on the Global goals is nascent and unclear. This issue is of direct national importance with the 2019 Australian senate inquiry into SDGs recommending that businesses be supported through the development of better reporting guidance.  ","SDG 2, SDG 3, SDG 4, SDG 5, SDG 7, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 15, SDG 16, SDG 17","health-related millennium development goals, global health targets, health systems guidance, non-governmental organizations health systems strengthening, global health security agenda (ghsa)","sustainable development education, guidelines training module, educational targets, education for sustainable development, global education governance",,"growth standards, financial sustainability, gdp growth, sustainable economic development, professional development","supply chain sustainability, sustainable business model, corporate sustainability, sustainable industry, professional organizations","neighborhood sustainability assessment, neighbourhood sustainability assessment, cities and sustainable development, cis-7 countries, paying for performance in developing","sustainable practices, sustainable management, sustainable production and consumption, sustainable consumption, sustainable consumption and production","ghg emissions, sustainability footprint, greenhouse gases, international emissions trading, emissions scenarios",,"goat development, ganges brahmaputra meghna delta, soil security dimensions, agriculture and food security, biodiversity indicators","sustainability governance, governance for sustainability, sustainability policy, snv netherlands development organisation, world summit for sustainable development","sustainable development goals - sdgs, sustainable development goals (sdgs), sustainable development goals (sdg), sustainable development goals (sdg's), un sustainable development goals (sdgs)","hunger targets, sustainable diets, dietary guidelines, global nutrition governance, fbdgs",,"womens dietary diversity score, women in development, womens groups, gender indicators, gender stereotypes","the 0.7 percent of gni target, financing for sustainable development, eu-gcc cooperation, debt sustainability, human development indicators","smart grids (sg), sustainable energy investments, electrical energy storage (ees) technologies, energy indicators, sustainable energy for all initiative"
6,"Narratives of digital resilience This project will explore the experiences of young people in dealing with bullying,
violent or extremist behaviours in online environments and analyse the strategies used by these youth to build digital resilience to this behaviour. This project will utilise qualitative and quantitative data through the partner networks. Outputs: narratives of youth resilience to violent online behaviour; evidence-based digital resistance strategies. The project aligns to priorities of understanding how young people build digital online resilience; understanding how online environments may promote grievance, resentment, frustration and disempowerment that makes violent extremist narratives attractive; and understanding possible ways for dealing with this.","SDG 1, SDG 2, SDG 3, SDG 4, SDG 5, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","community health worker programmes, impoverishment risks and reconstruction model, health systems challenges, prevention strategy, disability studies","education outcomes, education inequalities, learning metrics, learning styles, household education strategies",,"growth standards, organizational capacity development, entrepreneurship, growth strategy, organizational capacity building","disaster resilience, adaptive co-management, adaptive capacity, life cycle design, life cycles","community resilience, household resilience, community-focused strategies, developing communities, community-based disability workers","material recovery facilities, material recovery, life cycle, sustainable practices, waste management strategy","climate resilience, climate resilience, climate resilient urban development, adaptation pathway, climate vulnerability index","irrigation techniques, marine pollution abatement and ambient water quality improvement, national water resource strategy, marine resources, marine biodiversity conservation","vegetation recovery, landscape scale mitigation, land degradation mitigation, forest ecosystems, landscape metrics","development policies, cultural sustainability, intra- and intergenerational equity, education policy formation, environmental management systems","sustainable development strategies, un development strategies, sustainable development goal indicators, post-2015 sustainable development goals, united nations sustainable development goals","vulnerable groups, orphaned and vulnerable children, poverty reduction strategy papers, poverty mitigation, social vulnerability","poor resilience, educational poverty, education poverty, diseases of poverty, poor and vulnerable","girls school experiences, gender resource recovery, gender vulnerability, womens literacy programmes, women empowerment","human development indicators, adaptive cycle, human development report, development indicators, human development index",
7,Improving the negotiation skills among nascent entrepreneurs in Vietnam Improving the negotiation skills among nascent entrepreneurs in Vietnam,"SDG 3, SDG 4, SDG 8, SDG 9, SDG 10, SDG 11, SDG 16, SDG 17","prevention strategy, impoverishment risks and reconstruction model, affordability, prevention & control, neonates","teachers professional development, university : enterprise cooperation, educational targets, academic partnerships, teaching and learning",,"entrepreneurship, practitioners, professional meetings, organizational capacity development, contracting","cooperatives, social entrepreneurship, trade-offs and synergies, adaptive co-management, enterprise input-output","expatriates, household resilience, community-based disability workers, sustainable settlement, community-focused strategies",,,,,"stakeholder partnership, stewardship agreements, conflict management, decentralised development cooperation, reproductive rights","terms of partnership, sustainable cooperation, product development partnerships, un development strategies, sustainable development strategies",,,,"intersectoral partnerships, advocacy coalitions, intersectoral cooperation, regional collaboration, equality of opportunity",
8,"Closing the mental health gap: Lived experience perspectives of presenting to Emergency Departments in mental health distress Closing the mental health gap: Lived experience perspectives of presenting to Emergency Departments in mental health distress.

Data analysis of existing interviews, ethics application and subsequent completion of expert workshops; scoping online resource components","SDG 2, SDG 3, SDG 5, SDG 8, SDG 9, SDG 10, SDG 11, SDG 16, SDG 17","health services evaluation, community health worker programmes, health services research: maternal health services, healthcare professional associations, community health worker training",,,"child health surveys, health extension workers, health care workforce, health extension worker, village health workers","life cycle analysis, life cycle assessment, life cycle analysis (lca), ecosystem distress syndrome, life cycle assessment (lca)","neighbourhood sustainability assessment, demographic and health surveys, community consultations, neighborhood sustainability assessment, household autonomy and health",,,,,"health policy analysis, health policy and systems research, public health professionals opinion, united nations interagency group for child mortality estimation, health sector reforms","millennium development goalspovertyeducationequitywomen, post-2015 health development agenda, g8 summit, millennium development goals description, millennium development goals (mdg) maternal mortality","primary care community nutrition, child nutrition disorders/epildemiology/economics, food availability and affordability, global health education, poverty analysis",,"womens health issues, women and childrens health, womens and childrens health, reproductive, maternal, newborn and child health, maternal & newborn health road maps","health care disparities, health outcome inequality, immunization coverage disparities, human development report, health disparities",
9,"Care Economy Cooperative Research Centre (PhD Candidate: Amir Hossein Dast Aviz) The Care Economy CRC is researching ways to improve the quality and cost of care in Australia. There are a countless number of reports and publications across aged care, disability, domestic violence and other care sectors. CIS is seeking an intern to research these reports and publications and to find out what the major challenges are in Australia’s care sector.
CIS would like the intern to research the challenges facing the care sector in Australia. By conducting research across different industries i.e. aged care, disability and domestic violence, the intern may find many of these challenges cross over between. CIS would like the intern to complete an econometric analysis to discover the top 5 areas where the government could save significant spending, from investment in research and innovation programs. ","SDG 2, SDG 3, SDG 4, SDG 5, SDG 8, SDG 9, SDG 10, SDG 11, SDG 12, SDG 16, SDG 17","health care costs, health care surveys, health services accessibility, health care services, health care facilities","education outcomes, patient education, education inequalities, doctoral education, international development education",,"health care workforce, child health surveys, health extension workers, development work, growth standards","primary healthcare facilities, life cycle assessment, primary health facilities, life cycle analysis, public health facilities","community-based disability workers, road traffic injuries, road accidents, road traffic injury, millennium villages project","material recovery facilities, affordable assisted reproduction treatment, material recovery, life cycle, donor support",,,,"safe delivery care policy, health research institutions, health sector reforms, birth care, mental health services","millennium development goalspovertyeducationequitywomen, millennium development goals attainment, sustainable development indicators, millennium development goals policy response, millenium development goals","primary care community nutrition, food security indicators, aids-related deaths, child nutrition disorders/epildemiology/economics, vulnerable groups",,"womens dietary diversity score, womens health issues, womens literacy programmes, women and childrens health, maternal and child care","health care disparities, human development report, official aid for health provision, human development index, human development indicators",
